Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
5,Cells,4616,T21,0,IFN-,8721745.718,7305698.453,,42776.2695,,439031.0404,904163.1832,600514.1068,1894845.811,,,0,3289328.977,
5,Cells,5659,D21,1,IFN+,2942289.528,7389176.57,,27199.9531,,339327.7149,792599.8033,285649.1719,1664233.046,,,5896.562,2575250.039,
5,Cells,2036,D21,1,IFN+,4882946.641,8359340.398,,50111.582,,473831.28,729728.4717,220470.1027,1923759.26,,,0,2761886.898,
5,Cells,8447,D21,1,IFN+,2360735.419,6307827.672,,30762.627,,383101.133,722310.1023,210287.0139,1813240.881,,,0,2309791.787,
5,Cells,5397,T21,1,IFN+,1842708.151,5153896.963,,25922.4688,,470325.4445,737398.6259,302082.647,1767402.997,,,0,2814753.608,
5,Cells,2767,T21,1,IFN+,3899141.896,6475964.477,,32155.7559,,419052.8749,634825.7143,270987.0461,1965132.525,,,0,2626483.686,
5,Cells,4616,T21,1,IFN+,4296491.748,5163390.484,,29927.1816,,524042.468,618074.5996,337688.3361,1353949.598,,,20563.8814,3347597.037,
5,Cells,5659,D21,1,IFN-,2365179.955,4513469.282,,18518.2285,,403747.3058,747518.3555,334974.7477,1706319.099,,,0,2607601.869,
5,Cells,2036,D21,1,IFN-,6273781.954,9182494.813,,44585.5195,,443751.6548,560765.8097,406904.3693,2107149.419,,,0,2439691.713,
5,Cells,8447,D21,1,IFN-,1959422.665,5374671.75,,40714.9414,,389892.9614,450872.3218,225655.3738,1682676.858,,,0,2036561.684,
5,Cells,5397,T21,1,IFN-,3638923.414,7581229.836,,26500.2637,,418775.1043,759823.496,332017.7921,1496150.826,,,41588,2664581.68,
5,Cells,2767,T21,1,IFN-,5033789.088,9776891.344,,19515.041,,436870.1628,632624.1548,427139.3423,2024246.666,,,18011.9511,2067050.159,
5,Cells,4616,T21,1,IFN-,6736479.444,5325940.878,,40401.0312,,503247.4662,588136.7676,659017.4035,2061652.621,,,0,2606131.832,
5,Cells,5659,D21,6,IFN+,5332297.774,9938655.267,,23625.1387,,344258.8784,600537.0395,421442.6292,1716900.387,,,0,2322482.453,
